Sr No.,Code,URL,Batch
1,KLRG33E9,https://marketing.raffle24.oasisfloralshop.in?code=KLRG33E9,B151
2,TLNH21D4,https://marketing.raffle24.oasisfloralshop.in?code=TLNH21D4,B151
3,EVBN38G3,https://marketing.raffle24.oasisfloralshop.in?code=EVBN38G3,B151
4,UHADLEJ1,https://marketing.raffle24.oasisfloralshop.in?code=UHADLEJ1,B151
5,HCJAF3BI,https://marketing.raffle24.oasisfloralshop.in?code=HCJAF3BI,B151
6,SXUPE6G7,https://marketing.raffle24.oasisfloralshop.in?code=SXUPE6G7,B151
7,IRVH99UG,https://marketing.raffle24.oasisfloralshop.in?code=IRVH99UG,B151
8,GBLCH3U2,https://marketing.raffle24.oasisfloralshop.in?code=GBLCH3U2,B151
9,GLFP68T5,https://marketing.raffle24.oasisfloralshop.in?code=GLFP68T5,B151
10,RWNB14D6,https://marketing.raffle24.oasisfloralshop.in?code=RWNB14D6,B151
11,PVMB59B5,https://marketing.raffle24.oasisfloralshop.in?code=PVMB59B5,B151
12,XZLD39Q2,https://marketing.raffle24.oasisfloralshop.in?code=XZLD39Q2,B151
13,WDDR85D3,https://marketing.raffle24.oasisfloralshop.in?code=WDDR85D3,B151
14,WDDA48PC,https://marketing.raffle24.oasisfloralshop.in?code=WDDA48PC,B151
15,REGT5IE1,https://marketing.raffle24.oasisfloralshop.in?code=REGT5IE1,B151
16,LCRN82BG,https://marketing.raffle24.oasisfloralshop.in?code=LCRN82BG,B151
17,XCLV4AZ1,https://marketing.raffle24.oasisfloralshop.in?code=XCLV4AZ1,B151
18,NHLZ42P5,https://marketing.raffle24.oasisfloralshop.in?code=NHLZ42P5,B151
19,UGJUD4R2,https://marketing.raffle24.oasisfloralshop.in?code=UGJUD4R2,B151
20,KYZN3IM1,https://marketing.raffle24.oasisfloralshop.in?code=KYZN3IM1,B151
21,PDSX1MW4,https://marketing.raffle24.oasisfloralshop.in?code=PDSX1MW4,B151
22,PTUKC4A3,https://marketing.raffle24.oasisfloralshop.in?code=PTUKC4A3,B151
23,ZFKY57K7,https://marketing.raffle24.oasisfloralshop.in?code=ZFKY57K7,B151
24,VVZN17Q8,https://marketing.raffle24.oasisfloralshop.in?code=VVZN17Q8,B151
25,RCUXN4VD,https://marketing.raffle24.oasisfloralshop.in?code=RCUXN4VD,B151
26,WJGZ16Z2,https://marketing.raffle24.oasisfloralshop.in?code=WJGZ16Z2,B151
27,JZZC96R9,https://marketing.raffle24.oasisfloralshop.in?code=JZZC96R9,B151
28,ADQMD1GD,https://marketing.raffle24.oasisfloralshop.in?code=ADQMD1GD,B151
29,TFPN64P2,https://marketing.raffle24.oasisfloralshop.in?code=TFPN64P2,B151
30,ZSPCG9Y5,https://marketing.raffle24.oasisfloralshop.in?code=ZSPCG9Y5,B151
31,MLVS47B8,https://marketing.raffle24.oasisfloralshop.in?code=MLVS47B8,B151
32,KSCE76L5,https://marketing.raffle24.oasisfloralshop.in?code=KSCE76L5,B151
33,CCKG11SB,https://marketing.raffle24.oasisfloralshop.in?code=CCKG11SB,B151
34,BWYX68N7,https://marketing.raffle24.oasisfloralshop.in?code=BWYX68N7,B151
35,TEXT11N5,https://marketing.raffle24.oasisfloralshop.in?code=TEXT11N5,B151
36,XCSW39C7,https://marketing.raffle24.oasisfloralshop.in?code=XCSW39C7,B151
37,RRWV9DL3,https://marketing.raffle24.oasisfloralshop.in?code=RRWV9DL3,B151
38,EZQBD6R7,https://marketing.raffle24.oasisfloralshop.in?code=EZQBD6R7,B151
39,MUBYC6R3,https://marketing.raffle24.oasisfloralshop.in?code=MUBYC6R3,B151
40,LCIQ61T8,https://marketing.raffle24.oasisfloralshop.in?code=LCIQ61T8,B151
41,DLJF24S9,https://marketing.raffle24.oasisfloralshop.in?code=DLJF24S9,B151
42,AFWQ76A5,https://marketing.raffle24.oasisfloralshop.in?code=AFWQ76A5,B151
43,NHAL6LL7,https://marketing.raffle24.oasisfloralshop.in?code=NHAL6LL7,B151
44,TLQN62HH,https://marketing.raffle24.oasisfloralshop.in?code=TLQN62HH,B151
45,BIYB34F7,https://marketing.raffle24.oasisfloralshop.in?code=BIYB34F7,B151
